"USDA, FDA and ODS-NIH Database for the Iodine Content of Common Foods per Serving, Release 4, October 2024",,,,,,,,,,,,,,
DB_ID,"Standard Reference (Foundation FoodsA) 
FDC NDB No.",TDS No.,Description,Serving size,Serving measure,Serving weight (g),Iodine      (mcg/ serving)B,n,SD ,Min,Max,Source,Serving size referenceC,
113,03073,212,"Baby food, vegetables and chicken",0.75,cup,170,0.9,10,0.5,0.0,1.5,FDA,"FDA, USDA",
239,03085,728,"Baby food, vegetables and turkey ",0.75,cup,170,3.6,14,4.0,0.0,11,FDA,"FDA, USDA",
485,,767,"Baby food, infant formula, milk-based, powder",1,scoop,8.8,10,2,,8.8,11,FDA,label,
486,,768,"Baby food, infant formula, soy-based, powder",1,scoop,8.9,8.7,2,,8.6,8.7,FDA,label,
249,,202/734,"Baby food, Infant formula, milk-based, iron fortified, ready-to-feed",4,fl oz,123,16,8,2.1,14,20,FDA,FDA,
321,,309/735,"Baby food, Infant formula, soy-based, ready-to-feed",4,fl oz,123,14,8,5.4,0.7,19,FDA,FDA,
283,,738,"Baby food, water, baby, bottled",4,oz,113,0.0,8,0.0,0.0,0.0,FDA,FDA,
Fats and Oils,,,,,,,,,,,,,,
90,04691,162,"Margarine, salted",1,tbsp,14,0.2,10,0.2,0.0,0.5,FDA,"FDA, USDA",
92,04018,166,"Mayonnaise, regular, bottled ",1,tbsp,15,0.8,10,0.2,0.4,1.1,FDA,"FDA, USDA",
182,04053,378,"Oil, olive",1,tbsp,14,0.0,10,0.0,0.0,0.1,FDA,"FDA, USDA",
183,04044,379,"Oil, vegetable",1,tbsp,14,0.0,10,0.0,0.0,0.0,FDA,"FDA, USDA",
433,43016,,"Salad dressing, coleslaw, bottled",2,tbsp  ,38,0.6,1,,,,USDA,USDA,
329,43215,376,"Salad dressing, creamy/buttermilk type, low-calorie, bottled ",2,tbsp  ,30,3.8,7,0.6,2.8,4.4,FDA,USDA,
328,,375,"Salad dressing, creamy/buttermilk type, regular, bottled",2,tbsp  ,30,2.5,7,0.5,2.1,3.6,FDA,"FDA, USDA",
181,04114,377,"Salad dressing, Italian, regular, bottled ",2,tbsp  ,29,0.2,10,0.1,0.1,0.5,FDA,"FDA, USDA",
217,04640,516,"Salad dressing, ranch, low-calorie, bottled",2,tbsp  ,28,2.2,3,0.1,2.1,2.3,FDA,"FDA, USDA",
218,04639,517,"Salad dressing, ranch, regular, bottled",2,tbsp  ,30,3.0,6,1.5,1.8,5.7,FDA/USDA,"FDA, USDA",
Fruit,,,,,,,,,,,,,,
54,09003,78,"Apple, red, with peel, raw",1,"small (2 3/4"" diameter)",149,0.1,35,0.2,0.0,0.9,FDA,"FDA, USDA",
59,09020,84,"Applesauce, bottled ",0.50,cup,146,0.2,10,0.2,0.0,0.6,FDA,"FDA, USDA",
324,09026,348,"Apricots, canned in heavy/light syrup ",0.50,cup,127,7.8,7,6.3,1.7,20,FDA,"FDA, USDA",
67,09037,97,"Avocado, raw",0.33,"cup, cubed",50,0.1,35,0.4,0.0,1.7,FDA,FDA,
56,09040,80,"Banana, raw",1,large,136,0.3,35,0.9,0.0,4.8,FDA,"FDA, USDA",
196,09050,398,"Blueberries, raw",1,cup,148,0.4,28,0.5,0.0,1.8,FDA,"FDA, USDA",
64,09181,89,"Cantaloupe, raw/frozen",1,"cup, diced",156,0.5,35,0.5,0.0,2.0,FDA,"FDA, USDA",
62,09099,87,"Fruit cocktail, canned in light syrup ",0.50,cup,121,4.7,10,3.8,0.0,13,FDA,"FDA, USDA",
65,09111,92,"Grapefruit, raw",0.67,cup,154,0.2,35,0.3,0.0,1.1,FDA,"FDA, USDA",
63,09132,88,"Grapes, seedless, red/green, raw ",1,cup,151,0.6,35,0.4,0.0,1.7,FDA,"FDA, USDA",
453,09176,412,"Mango, raw/frozen",0.88,cup,140,0.1,6,0.2,0.0,0.6,FDA,FDA,
153,09193,299,"Olives, black, pitted",3,large,15,0.3,10,0.2,0.0,0.8,FDA,FDA,
55,09200,79,"Orange, raw",1,"medium (2 5/8"" diameter)",131,0.2,35,0.3,0.0,1.3,FDA,"FDA, USDA",
345,09239,254,"Peach, canned in light/medium syrup ",0.50,cup,124,7.7,7,4.4,1.6,13,FDA,"FDA, USDA",
58,09236,83,"Peach, raw/frozen ",1,"medium (2-2/3"" diameter)",150,0.3,35,0.7,0.0,3.9,FDA,"FDA, USDA",
346,09256,255,"Pear, canned in light syrup ",0.50,cup,126,0.1,7,0.0,0.1,0.3,FDA,"FDA, USDA",
60,09252,85,"Pear, with peel, raw",1,small,148,0.1,35,0.3,0.0,1.0,FDA,"FDA, USDA",
309,09354,93,"Pineapple, canned in juice ",0.75,cup,135,2.5,7,3.2,0.8,9.6,FDA,"FDA, USDA",
194,09266,396,"Pineapple, raw/frozen",0.75,cup,123,0.4,28,0.5,0.0,2.8,FDA,"FDA, USDA",
66,09298,95,Raisins ,0.25,"cup, packed",41,0.7,10,0.6,0.0,1.4,FDA,"FDA, USDA",
61,09316,86,"Strawberries, raw/frozen ",0.75,cup sliced,124,0.4,35,0.4,0.0,2.0,FDA,"FDA, USDA",
57,09326,81,"Watermelon, raw/frozen",1.75,"cup, diced",266,0.3,35,0.6,0.0,2.1,FDA,"FDA, USDA",
Vegetables,,,,,,,,,,,,,,
74,11012,115,"Asparagus, fresh/frozen, boiled",0.50,"cup, cuts",90,0.8,35,0.7,0.0,3.5,FDA,"FDA, USDA",
340,11084,131,"Beets, canned ",0.50,"cup, sliced",85,0.3,7,0.3,0.1,1.0,FDA,FDA,
72,11742,113,"Broccoli, fresh/frozen, boiled",0.50,"cup, chopped",78,0.4,35,0.5,0.0,2.1,FDA,"FDA, USDA",
140,11099,263,"Brussels sprouts, fresh/frozen, boiled",0.50,cup,78,0.0,35,0.1,0.0,0.4,FDA,"FDA, USDA",
331,11110,110,"Cabbage, fresh, boiled ",0.50,"cup, shredded",75,0.1,8,0.1,0.0,0.2,FDA,"FDA, USDA",
204,11109,406,"Cabbage, raw",1,"cup, chopped",89,0.0,27,0.0,0.0,0.0,FDA,"FDA, USDA",
175,11960,356,"Carrot, baby, raw",8,medium,80,0.5,35,0.9,0.0,2.9,FDA,"FDA, USDA",
313,11125,259,"Carrot, fresh, peeled, boiled ",0.50,"cup, sliced",78,0.4,7,0.4,0.0,1.2,FDA,"FDA, USDA",
75,11136,116,"Cauliflower, fresh/frozen, boiled",0.67,"cup, pieces",83,0.5,35,0.6,0.0,2.5,FDA,"FDA, USDA",
73,11143,114,"Celery, raw",0.75,cup,75,1.3,35,1.6,0.0,6.7,FDA,"FDA, USDA",
70,11162,108,"Collards, fresh/frozen, boiled",0.50,cup,95,0.7,35,1.7,0.0,7.0,FDA,"FDA, USDA",
45,11172,55,"Corn, canned, drained solids ",0.50,cup,82,0.3,10,0.3,0.0,0.7,FDA,"FDA, USDA",
44,11179,54,"Corn, frozen, boiled",0.50,cup,82,0.2,35,1.0,0.0,5.7,FDA,"FDA, USDA",
79,11206,123,"Cucumber, peeled, raw",0.67,cup,89,0.4,35,0.3,0.0,1.9,FDA,"FDA, USDA",
315,11210,265,"Eggplant, fresh, without peel, boiled",0.75,cup,75,0.2,14,0.2,0.0,0.8,FDA,"FDA, USDA",
250,,410,"Eggplant, with peel, baked",0.75,cup,75,0.4,21,0.4,0.0,1.1,FDA,"FDA, similar USDA item  ",
454,11215,413,"Garlic, raw",1.50,tsp,4,0.0,6,0.1,0.0,0.1,FDA,FDA,
78,11729,122,"Green beans, canned, drained solids",0.50,cup,77,0.2,10,0.4,0.0,0.9,FDA,"FDA, USDA",
77,11061,121,"Green beans, fresh/frozen, boiled",0.67,cup,89,0.6,35,0.7,0.0,2.3,FDA,"FDA, USDA",
452,11236,411,"Kale, fresh, pan-cooked",0.75,cup,85,1.6,6,1.8,0.0,3.7,FDA,FDA,
71,11252,109,"Lettuce, iceberg, raw ",1,"cup, shredded",72,0.1,35,0.3,0.0,1.3,FDA,"FDA, USDA",
176,11253,357,"Lettuce, leaf, raw",2,"cups, shredded",72,0.8,35,1.0,0.0,5.8,FDA,"FDA, USDA",
36,11032,42,"Lima beans, immature, frozen, boiled ",0.50,cup,85,0.2,9,0.3,0.0,0.8,FDA,FDA ,
142,11584,268,"Mixed vegetables, frozen, boiled ",0.50,cup,91,0.2,10,0.3,0.0,0.8,FDA,"FDA, USDA",
141,11260,264,"Mushrooms, raw",1.25,cup,87,0.3,35,0.2,0.0,1.0,FDA,"FDA, USDA",
451,,130,"Mushrooms, canned, drained solids",0.67,cup,95,0.0,1,,,,FDA,FDA,
